Perfume,Marca,Acordes,Notas
1872 Twist Jasmine,Clive Christian,"Fresco especiado, Floral blanco, Aromático, Cítrico, Verde, Florales, Amaderado, Fresco, Herbal, Atalcado","Albahaca, Limón (lima ácida), Bergamota, Jazmín, Jacinto, Sándalo, Pachulí"
1872 Vetiver,Clive Christian,"Aromático, Cítrico, Fresco especiado, Amaderado, Terrosos","Nuez moscada, Cardamomo, Pimienta negra, Bergamota, Almizcle, Salvia, Lime, Jazmín, Incense, Toronja (pomelo), Neroli, Petitgrain, Ámbar, Marigold, Moss, Vetiver, Lavanda, Romero, Coriander, Galbanum, Pachulí, Fresia, Cedro"
1873,Histoires De Parfums,"Cítrico, Dulce, Floral blanco, Fresco especiado, Fresco","Almizcle, Flor de azahar del naranjo, Naranja, Flores silvestres, Lime, Caramelo, Toronja (pomelo), Vainilla, Lavanda, Lirio de los valles (muguete), Cítricos, Violeta, Bergamota, Mandarina"
1875 Carmen Bizet,Histoires De Parfums,"Cálido especiado, Amaderado, Pachulí, Herbal, Balsámico","Madera de gaiac, Flores blancas, Azafrán, Pachulí, Artemisia, Incense, Sándalo, Limón (lima ácida), Jengibre"
1875 Carmen Bizet Absolu Edp,Histoires De Parfums,"Cálido especiado, Amaderado, Herbal, Ahumado, Floral blanco","Madera de gaiac, Flores blancas, Azafrán, Pachulí, Artemisia, Incense, Sándalo, Limón (lima ácida), Jengibre"
1876,Histoires De Parfums,"Amaderado, Atalcado, Cálido especiado, Florales, Aromático","Alcaravea, Almizcle, Canela, Madera de gaiac, Naranja, Rosa, Sándalo, Vetiver, Vainilla, Clavel, Iris, Litchi, Violeta, Bergamota"
1881,Cerruti,"Atalcado, Florales, Herbal, Floral amarillo, Aromático","Mimosa, Bergamota, Almizcle, Jazmín, Violeta, Ámbar, Vainilla, Lirio de los valles (muguete), Geranio, Palo de rosa brasileño, Narcissus, Coriander, Flor de azahar del naranjo, Galbanum, Rosa, Manzanilla, Nardos, Sándalo, Fresia, Iris, Cedro"
1881 Acqua Forte,Cerruti,"Fresco especiado, Amaderado, Cítrico, Aromático, Verde","Madera de cachemira, Palo de rosa, Albahaca, Cardamomo, Calone, Yuzu"
1881 Amber Pour Homme,Cerruti,"Ámbar, Amaderado, Lavanda, Aromático, Verde","Acordes verdes, Almizcle, Hojas de violeta, Rosa, Jazmín, Vetiver, Lavanda, Ámbar, Cedro"
1881 Bella Notte Man,Cerruti,"Fresco especiado, Cítrico, Cálido especiado, Aromático, Amaderado","Pimienta de sichuan, Almizcle, Nuez moscada, Canela, Coriander, Enebro, Pachulí, Jazmín, Lime, Vainilla, Cardamomo, Cidra, Limón (lima ácida), Cedro"
1881 Bella Notte Woman,Cerruti,"Cítrico, Almizclado, Floral blanco, Afrutados, Dulce","Almizcle, Flor de azahar del naranjo, Vainilla, Bergamota, Mora, Ámbar"
1881 Cerruti Eau D Ete 2004,Cerruti,"Cítrico, Amaderado, Fresco especiado, Aromático, Afrutados","Ciprés, Almizcle, Nuez moscada, Vanille, Naranja, Rosa, Jazmín, Lime, Sándalo, Vetiver, Flor de olivo, Mandarin orange, Grosellas negras, Bergamota, Ámbar"
1881 Edition Blanche,Cerruti,"Atalcado, Avainillado, Floral amarillo, Florales, Almizclado","Almizcle, Hojas de violeta, Heliotropo, Vainilla, Grosellas negras, Mimosa, Bergamota"
1881 Edition Blanche Pour Homme,Cerruti,"Amaderado, Aromático, Fresco especiado, Cítrico, Afrutados","Menta, Notas amaderadas, Mandarin orange, Lavanda, Romero, Grosellas negras, Musgo de roble, Bergamota, Ámbar, Cedro"
1881 Essentiel,Cerruti,"Cítrico, Aromático, Fresco especiado, Amaderado, Herbal","Artemisia, Musgo de roble, Toronja (pomelo), Vetiver, Mandarin orange, Albahaca, Cítricos, Pimienta rosa, Bergamota, Cedro"
1881 Fairplay,Cerruti,"Fresco especiado, Aromático, Amaderado, Cítrico, Cálido especiado","Nuez moscada, Limón de amalfi, Pachulí, Haba tonka, Pimienta, Sándalo, Albahaca, Romero, Coriander"
1881 Men,Cerruti,"Amaderado, Aromático, Fresco especiado, Terrosos, Verde","Ylang-ylang, Bergamota, Ciprés, Almizcle, Enebro, Casia, Pimienta, Musgo de roble, Vetiver, Clavel, Lavanda, Lirio de los valles (muguete), Resina de elemí, Galbanum, Rosa, Pachulí, Sándalo, Pino, Cedro"
1881 Riviera,Cerruti,"Cítrico, Amaderado, Floral blanco, Aromático, Verde","Cuero, Naranja, Akigalawood, Pachulí, Jazmín, Menta, Incense, Vetiver, Bergamota"
1881 Signature,Cerruti,"Fresco especiado, Cuero, Cálido especiado, Ámbar, Animálico","Cuero, Nuez moscada, Pachulí, Ámbar, Pimienta, Toronja (pomelo), Vetiver, Cardamomo, Peppertree, Ládano"
1881 Silver,Cerruti,"Aromático, Fresco especiado, Cálido especiado, Herbal, Cítrico","Ylang-ylang, Amberwood, Pachulí, Salvia, Geranio, Albahaca, Lavanda, Musgo de roble, Limón (lima ácida), Jengibre, Piña, Coriander"
1888,Xerjoff,"Cálido especiado, Amaderado, Ámbar, Florales, Aromático, Floral amarillo, Fresco especiado, Cuero, Atalcado, Rosas","Clavel, Pimienta, Cilantro, Azafrán, Ylang-ylang, Rosa, Neroli, Ámbar, Sándalo, Pachulí, Abedul"
1889 Moulin Rouge,Histoires De Parfums,"Iris, Atalcado, Afrutados, Terrosos, Rosas","Almizcle, Canela, Pachulí, Ciruela, Ajenjo, Iris, Tincture of rose, Mandarina"
1890 La Dame De Pique Tchaikovsky,Histoires De Parfums,"Ámbar, Cálido especiado, Ahumado, Cuero, Pachulí","Cuero, Almizcle, Flor de azahar del naranjo, Rosa, Pachulí, Jazmín, Pimienta, Incense, Ámbar, Coriander"
1890 La Dame De Pique Tchaikovsky Absolu Edp,Histoires De Parfums,"Ámbar, Floral blanco, Ahumado, Cuero, Animálico","Cuero, Almizcle, Flor de azahar del naranjo, Rosa, Pachulí, Jazmín, Pimienta, Incense, Ámbar, Coriander"
1895,Atelier Rebul,"Cítrico, Aromático, Amaderado, Fresco especiado, Cálido especiado","Musgo de roble, Vetiver, Mandarin orange, Cardamomo, Rhubarb, Neroli, Limón (lima ácida), Bergamota, Cedro"
1899 Hemingway,Histoires De Parfums,"Fresco especiado, Aromático, Cálido especiado, Amaderado, Canela","Enebro, Canela, Flor de azahar del naranjo, Vainilla, Vetiver, Pimienta negra, Iris, Bergamota, Ámbar"
18 Orchid,Perry Ellis,"Afrutados, Avainillado, Dulce, Ámbar, Pachulí","Night blooming jasmine, Haba tonka, Zarza, Vainilla, Passionfruit, Hojas de pachulí de indonesia, Bergamota, Ámbar"
1902 Figue Blanche,Parfums Berdoues,"Afrutados, Dulce, Amaderado, Cítrico, Atalcado","Melocotón (durazno), Ylang-ylang, Jazmín, Vainilla, Higo, Bergamota, Almizcle blanco, Cedro"
1902 Mandarine Cuir,Parfums Berdoues,"Cítrico, Aromático, Cuero, Almizclado, Cálido especiado","Cuero, Hoja de mandarina, Almizcle, Vetiver, Mandarin orange, Cardamomo, Floral notes, Pimienta rosa"
1904 Madame Butterfly Puccini Absolu Edp,Histoires De Parfums,"Atalcado, Amaderado, Iris, Cítrico, Avainillado","Almizcle, Heliotropo, Sándalo, Mandarin orange, Neroli, Orris, Cedro"
1905,Detaille,"Amaderado, Verde, Terrosos, Aromático, Atalcado","Cassis, Ylang-ylang, Flor de azahar del naranjo, Galbanum, Rosa, Jazmín, Musgo de roble, Sándalo, Iris, Violeta, Vetyver"
1905 Madame Butterfly Puccini,Histoires De Parfums,"Atalcado, Iris, Amaderado, Violeta, Almizclado","Almizcle, Heliotropo, Sándalo, Mandarin orange, Iris, Neroli, Cedro"
1907,Boadicea The Victorious,"Ámbar, Atalcado, Almizclado, Cálido especiado, Aromático, Amaderado, Cítrico, Violeta, Fresco especiado, Dulce","Limón (lima ácida), Cardamomo, Canela, Pimienta rosa, Nuez moscada, Violeta, Cachemira, Salvia, Almizcle, Ámbar, Tabaco, Haba tonka, Benjuí, Cedro, Musgo"
1909,Ormonde Jayne,"Cítrico, Cálido especiado, Amaderado, Aromático, Atalcado, Ámbar, Almizclado, Cuero, Fresco especiado","Toronja (pomelo), Mandarina, Bergamota, Sándalo, Cardamomo, Ládano, Sándalo, Gamuza"
1909,Ormonmde Jayne,"Cítrico, Cálido especiado, Amaderado, Aromático, Atalcado, Ámbar, Almizclado, Cuero, Fresco especiado","Toronja (pomelo), Mandarina, Bergamota, Sándalo, Cardamomo, Ládano, Sándalo, Gamuza"
190 Ans De Création 1828 2018,Guerlain,"Ámbar, Dulce, Cítrico, Amaderado, Almendrado, Floral blanco, Cálido especiado, Floral amarillo, Nueces, Avainillado","Benjuí, Flor de azahar del naranjo, Almendra, Ylang-ylang, Sándalo, Naranja"
1920 Extreme,Bois 1920,"Aromático, Amaderado, Fresco especiado, Herbal, Lavanda","Salvia, Jazmín, Haba tonka, Sándalo, Vainilla, Lavanda, Bergamota, Geranio, Cedro"
1920 The Origin,Tous,"Fresco especiado, Cálido especiado, Amaderado, Cítrico, Aromático","Comino, Tea, Jazmín, Pachulí, Cardamomo, Pimienta negra, Ámbar gris, Bergamota, Cedro"
1920 The Origin Eau De Toilette,Tous,"Aromático, Cítrico, Fresco especiado, Acuático, Cálido especiado","Canela, Madera de gaiac, Water notes, Toronja (pomelo), Vetiver, Cardamomo, Esclarea, Geranio, Ámbar"
1921,Gucci,"Cítrico, Floral blanco, Musgoso, Fresco, Terrosos","Cidra, Verbena de limón, Musgo de roble, Neroli"
1926 Turandot Puccini,Histoires De Parfums,"Cálido especiado, Ámbar, Cuero, Ahumado, Floral amarillo","Cuero, Flor de azahar del naranjo, Pachulí, Jazmín, Incense, Clavel, Pera, Jengibre, Narcissus, Ámbar"
1926 Turandot Puccini Absolu Edp,Histoires De Parfums,"Cálido especiado, Floral blanco, Florales, Ámbar, Cuero","Cuero, Flor de azahar del naranjo, Pachulí, Jazmín, Incense, Clavel, Pera, Jengibre, Narcissus, Ámbar"
1927,Floris London,"Floral amarillo, Atalcado, Aldehídico, Cítrico, Florales","Almizcle, Pachulí, Vainilla, Mandarin orange, Bergamota, Violeta, Mimosa, Aldehídos, Narcissus"
1929 Eau De Parfum,Daniel Josier,"Almizclado, Atalcado, Amaderado, Floral amarillo, Animálico, Floral blanco, Rosas, Verde, Aldehídico, Dulce","Aldehídos, Durazno (melocotón), Notas verdes, Rosa, Jazmín, Ylang-ylang, Nardo índico, Sándalo, Almizcle, Algalia (civet)"
1932 Eau De Parfum,Chanel,"Florales, Aldehídico, Iris, Fresco, Atalcado","Almizcle, Vanila, Jazmín, Incense, Toronja (pomelo), Notas amaderadas, Vetiver, Pera, Iris, Floral notes, Aldehídos"
1938,Thomas Kosmala,"Afrutados, Amaderado, Avainillado, Atalcado, Ámbar, Floral blanco, Dulce, Especiado suave, Florales","Grosellas negras, Neroli, Bergamota, Durazno (melocotón), Absoluto de vainilla, Jazmín, Ámbar, Madera seca, Sándalo"
1957 Eau De Parfum,Chanel,"Atalcado, Almizclado, Iris, Aldehídico, Floral blanco","Aldehídos, Flor de azahar del naranjo, Cachemira, Jazmín, Miel, Vainilla, Pimienta rosa, Orris, Bergamota, Almizcle blanco, Coriander, Cedro"
195 A.C.,Agatho,"Verde, Amaderado, Fresco, Afrutados, Dulce, Ámbar","Hojas de higuera, Granada, Menta, Bergamota, Limón (lima ácida), Higo, Cardamomo, Jazmín, Té negro, Incienso, Madera de cachemira, Cedro, Pachulí, Cuero, Styrax"
1962,Floris London,"Aromático, Amaderado, Fresco especiado, Verde, Cítrico","Ciprés, Almizcle, Cloves, Moss, Peppermint, Jazmín, Green mandarin, Albahaca, Lirio de los valles (muguete), Bergamota, Ámbar, Cedro"
19 68,Gritti,"Cítrico, Aromático, Lavanda, Fresco especiado, Ámbar","Cassis, Almizcle, Rosa, Pachulí, Haba tonka, Toronja (pomelo), Vetiver, Lavanda, Bergamota de calabria, Ámbar gris, Pimienta rosa, Mandarina, Magnolia"
1968,Rosendo Mateu,"Verde, Florales, Almizclado, Nardos, Rosas","Almizcle, Green accord, Rosa, Nardos, Spices, Notas amaderadas, Vainilla, Aromatic notes, Floral notes, Dew drop"
1969 Parfum De Revolte,Histoires De Parfums,"Cálido especiado, Rosas, Afrutados, Pachulí, Dulce","Melocotón (durazno), Chocolate mexicano, Almizcle, Flores blancas, Rosa, Pachulí, Café, Clavo, Cardamomo"
1970,Rosendo Mateu,"Avainillado, Cálido especiado, Dulce, Ámbar, Chocolate","Almizcle, Chocolate, Haba tonka, Spices, Notas amaderadas, Vainilla, Earthy notes, Cítricos, Frutas, Ámbar"
1975,Al Rehab,"Floral blanco, Cítrico, Almizclado, Atalcado, Fresco especiado, Florales, Amaderado, Animálico, Dulce","Flor de azahar del naranjo, Bergamota, Jacinto, Jazmín, Gardenia, Rosa, Almizcle, Sándalo, Ámbar"
1976,Floris London,"Aromático, Amaderado, Fresco especiado, Cítrico, Cuero","Hoja de abedul, Almizcle, Enebro, Pachulí, Jazmín, Vetiver, Lavanda, Pimienta negra, Limón (lima ácida), Bergamota, Ámbar"
1981X,Alexandria Fragrances,"Dulce, Avainillado, Amielado, Tabaco, Cítrico","Tabaco, Canela, Cachemira, Jazmín, Miel, Haba tonka, Vainilla, Lavanda, Limón (lima ácida), Bergamota"
1984,Ormonde Jayne,"Ámbar, Rosas, Ahumado, Fresco especiado, Afrutados, Especiado suave, Florales, Almizclado, Balsámico, Cálido especiado","Nuez moscada, Grosellas negras, Pimienta rosa, Incienso, Rosa, Ámbar, Jazmín, Almizcle, Vainilla"
1984,Ormonmde Jayne,"Ámbar, Rosas, Ahumado, Fresco especiado, Afrutados, Especiado suave, Florales, Almizclado, Balsámico, Cálido especiado","Nuez moscada, Grosellas negras, Pimienta rosa, Incienso, Rosa, Ámbar, Jazmín, Almizcle, Vainilla"
1986,Xerjoff,"Cítrico, Floral blanco, Verde, Cálido especiado, Dulce, Fresco","Té verde, Flor de azahar del naranjo, Mandarina, Cardamomo"
1988,Floris London,"Aromático, Verde, Cítrico, Amaderado, Atalcado","Cassis, Acordes verdes, Almizcle, Galbanum, Rosa, Jazmín, Tomillo, Toronja (pomelo), Vetiver, Sándalo, Iris, Romero, Limón (lima ácida), Bergamota, Ámbar"
1988,Rosendo Mateu,"Marino, Acuático, Salado, Almizclado, Ozónico","Agua de mar, Spices, Notas amaderadas, Sea salt, Cítricos, Ozonic notes, Dew drop, Almizcle blanco"
1989,Theodoros Kalotinis,"Afrutados, Pachulí, Fresco especiado, Cálido especiado, Amaderado","Pachulí, Ciruela, Olíbano, Black, Pimienta rosa, Frambuesa"
1996 Inez Vinoodh,Byredo,"Amaderado, Ámbar, Cuero, Atalcado, Pachulí","Cuero, Pachulí, Iris, Violeta, Ámbar, Juniper berries"
1 Amber Rouge,Dilis Parfum,"Ámbar, Amaderado, Cálido especiado, Balsámico, Animálico","Spruce, Azafrán, Amberwood, Jazmín, Ámbar gris, Resins, Cedro"
1 Million,Paco Rabanne,"Cálido especiado, Canela, Cítrico, Ámbar, Amaderado","Cuero, Pachulí indio, Mandarina sanguina, Canela, Rosa, Menta, Spicy notes, Toronja (pomelo), Notas amaderadas, Ámbar"
1 Million Absolutely Gold,Paco Rabanne,"Florales, Cuero, Cítrico, Animálico, Ahumado","Mandarin orange, Cuero, Flores"
1 Million Cologne,Paco Rabanne,"Cítrico, Rosas, Aromático, Marino, Cálido especiado","Cuero, Rosa, Pachulí, Haba tonka, Sea notes, Mandarin orange, Cardamomo, Cítricos, Juniper berries"
1 Million Eau De Toilette Collector Edition,Paco Rabanne,"Cítrico, Cálido especiado, Amaderado, Cuero, Verde","Cuero, Pachulí indio, Mandarina sanguina, Canela, Rosa, Menta, Spices, Toronja (pomelo), Notas amaderadas, Ámbar"
1 Million Elixir,Paco Rabanne,"Avainillado, Afrutados, Rosas, Dulce, Amaderado","Manzana, Pachulí, Haba tonka, Absoluto de vainilla, Osmanto (olivo oloroso), Damask rose, Davana, Cedro"
1 Million Golden Oud,Paco Rabanne,"Amaderado, Fresco especiado, Cuero, Cálido especiado, Oud","Cuero, Nuez moscada, Gurjan balsam, Azafrán, Pachulí, Sándalo, Oud, Pimienta negra, Bergamota, Ládano, Madera de cedro"
1 Million Intense,Paco Rabanne,"Cálido especiado, Rosas, Canela, Cuero, Amaderado","Cuero, Mandarina sanguina, Canela, Raíz de lirio, Azafrán, Rosa, Pachulí, Sándalo, Cardamomo, Neroli, Pimienta negra"
1 Million Lucky,Paco Rabanne,"Amaderado, Dulce, Nueces, Amielado, Afrutados","Flor de azahar del naranjo, Amberwood, Pachulí, Ciruela, Miel, Madera de cachemira, Jazmín, Toronja (pomelo), Musgo de roble, Vetiver, Ozonic notes, Avellana, Bergamota, Cedro"
1 Million Merry Millions,Paco Rabanne,"Cálido especiado, Cítrico, Amaderado, Verde, Pachulí, Cuero, Rosas, Canela, Aromático, Ámbar","Menta, Mandarina roja, Limón (lima ácida), Especias, Rosa, Canela, Cuero, Notas amaderadas, Pachulí, Ámbar"
1 Million Monopoly Collector Edition,Paco Rabanne,"Cálido especiado, Cítrico, Amaderado, Ámbar, Cuero, Verde, Canela, Pachulí, Rosas, Aromático","Menta, Mandarina roja, Toronja (pomelo), Especias, Rosa, Canela, Cuero, Ámbar, Notas amaderadas, Pachulí"
1 Million Parfum,Paco Rabanne,"Floral blanco, Nardos, Ámbar, Animálico, Amaderado, Salado, Cuero, Tropical, Almizclado, Coco","Nardos, Notas solares, Sal, Aceite de monoi, Ámbar gris, Cuero, Cachemira, Ládano, Pino"
1 Million Privé,Paco Rabanne,"Cálido especiado, Canela, Dulce, Ámbar, Tabaco, Avainillado, Cítrico, Balsámico, Aromático, Pachulí","Canela, Mandarina roja, Tabaco, Mirra, Haba tonka, Pachulí"
1 Million Prive,Paco Rabanne,"Cálido especiado, Canela, Dulce, Ámbar, Tabaco","Tabaco, Canela, Mandarina sanguina, Pachulí, Haba tonka, Mirra"
1 Million Royal,Paco Rabanne,"Cálido especiado, Aromático, Ámbar, Cítrico, Amaderado","Hojas de violeta, Benjuí, Pachulí, Salvia, Lavanda, Cardamomo, Bergamota, Mandarina, Cedro"
1 Million X Pac Man Collector Edition,Paco Rabanne,"Cítrico, Cálido especiado, Canela, Ámbar, Rosas","Cuero, Pachulí indio, Mandarina sanguina, Canela, Rosa, Menta, Spices, Toronja (pomelo), Notas amaderadas, Ámbar"
1 Million X Pac Man Collector Edition,Rabanne,"Cítrico, Cálido especiado, Verde, Ámbar, Rosas, Canela, Amaderado, Cuero, Aromático, Pachulí","Menta, Mandarina roja, Toronja (pomelo), Rosa, Canela, Especias, Ámbar, Cuero, Pachulí hindú, Notas amaderadas"
1 Parfum,Xerjoff,"Aromático, Fresco especiado, Cítrico, Herbal, Especiado suave, Almizclado, Amaderado, Terrosos, Verde, Lavanda","Bergamota, Lavanda, Neroli, Albahaca, Pimienta rosa, Cilantro, Ajenjo (absenta), Tomillo, Pachulí, Musgo de roble, Ámbar, Almizcle"
2,Jousset Parfums,"Cálido especiado, Café, Canela, Almendrado, Oud, Nueces, Afrutados","Canela, Almendra, Rosa de mai, Café, Madera de oud"
2,Luciano Soprani,"Aromático, Amaderado, Cítrico, Fresco especiado, Avainillado","Rosa, Jazmín, Naranja amarga, Haba tonka, Tomillo, Sándalo, Incense, Vainilla, Mandarin orange, Albahaca, Grosellas negras, Bergamota, Coriander"
2000 Et Une Rose,Lancome,"Rosas, Almizclado, Fresco especiado, Florales, Atalcado","Almizcle, Ámbar, Vainilla, Mandarin orange, Wild rose, Tea rose, Ambretón, Pimienta blanca, Rosa de bulgaria (rosa damascena de bulgaria)"
2000 Fleurs,Creed,"Florales, Atalcado, Verde, Floral blanco, Afrutados","Almizcle, Lirio, Rosa, Lila, Jazmín, Sándalo, Mandarin orange, Té verde, Iris, Grosellas negras, Violeta, Narcissus, Ámbar, Magnolia"
2010,Rosendo Mateu,"Cálido especiado, Amaderado, Ámbar, Metálico, Almizclado","Almizcle, Dark woodsy notes, Azafrán, Spices, Notas amaderadas, Balsamic notes, Notas dulces, Floral notes, Aromatic notes, Resins, Cedro"
2019,Ormonde Jayne,"Cítrico, Floral blanco, Amaderado, Atalcado, Florales, Fresco especiado, Almizclado, Aromático","Bergamota, Mandarina, Fresia, Jazmín, Sándalo, Almizcle, Absoluto de vainilla"
2019,Ormonmde Jayne,"Cítrico, Floral blanco, Amaderado, Atalcado, Florales, Fresco especiado, Almizclado, Aromático","Bergamota, Mandarina, Fresia, Jazmín, Sándalo, Almizcle, Absoluto de vainilla"
"2019 Vodka, Tobacco, Juniper",Bon Parfumeur,"Aromático, Fresco especiado, Verde, Amaderado, Vodka, Tabaco, Dulce, Terrosos, Cítrico, Cálido especiado","Vodka, Menta, Naranja amarga, Albahaca, Bayas de enebro, Pimienta rosa, Canela, Melón glaseado, Tabaco, Vetiver, Pachulí"
201 Granny Smith Lily Of The Valley Pear,Bon Parfumeur,"Afrutados, Fresco, Florales, Verde, Floral blanco","Cassis, Almizcle, Vetiver, Manzana verde, Fresia, Tagetes, Pera, Lirio de los valles (muguete), Bergamota, Magnolia, Cedro"
20 20,Antiqua Firenze,"Ámbar, Florales, Cálido especiado, Amaderado, Floral blanco, Fresco especiado, Especiado suave, Fresco, Aromático","Pimienta negra, Esclarea, Mandarina verde, Orquídea de vainilla, Peonía, Azucena, Benjuí, Amberwood, Pachulí"
2021 Nights,Renier Perfumes,"Floral blanco, Cálido especiado, Café, Cítrico, Amaderado","Almizcle, Mandarina italiana, Ylang-ylang, Flor de azahar del naranjo, Jazmín, Café, Sándalo, Musgo de roble, Albahaca, Iris, Pimienta rosa, Limón (lima ácida), Jengibre, Bergamota"
2022 Generation Femme,Stephane Humbert Lucas,"Almendrado, Verde, Atalcado, Avainillado, Aromático","White tea, Heliotropo, Galbanum, Haba tonka, Jazmín, Almendro, Sándalo, Neroli, Nectarine"
2022 Generation Homme,Stephane Humbert Lucas,"Oud, Afrutados, Verde, Cítrico, Fresco especiado","Menta, Spicy notes, Grosellas negras, Madera de oud, Peru balsam, Yuzu"
202 Watermelon Redcurrant Jasmine,Bon Parfumeur,"Afrutados, Fresco, Dulce, Ozónico, Acuático","Cyclamen, Melocotón (durazno), Grosella roja, Jazmín, Mango, Caramelo, Toronja (pomelo), Sándalo, Lirio de los valles (muguete), Melón, Cidra"
203 Raspberry Vanilla Blackberry,Bon Parfumeur,"Afrutados, Avainillado, Dulce, Floral blanco, Fresco","Almizcle, Rosa, Jazmín, Vainilla, Frutos rojos, Pera, Maderas blancas, Solar notes, Neroli, Ámbar gris"
